GUID,GEOGID,GEOGDESC,T15_2_Y,T15_2_N,T15_2_NS,T15_2_T,T15_3_B,T15_3_OTH,T15_3_N,T15_3_NS,T15_3_T,Proportion for PC,Proportion for BroadBand
2AE19629208013A3E055000000000001,ED3409_27102,Ballynagar,51,22,3,76,44,6,25,1,76,67.105,57.895
2AE1962920AF13A3E055000000000001,ED3409_27103,Bracklagh,104,52,3,159,88,25,43,3,159,65.409,55.346
2AE1962920B013A3E055000000000001,ED3409_27104,Bullaun,62,26,6,94,42,25,20,7,94,65.957,44.681
2AE1962920BF13A3E055000000000001,ED3409_27105,Cappalusk,87,42,1,130,59,36,32,3,130,66.923,45.385
2AE1962920D813A3E055000000000001,ED3409_27106,Castleboy,120,63,1,184,87,46,49,2,184,65.217,47.283
2AE19629205313A3E055000000000001,ED3409_27107,Cloonkeen,103,43,5,151,83,30,33,5,151,68.212,54.967
2AE19629205513A3E055000000000001,ED3409_27108,Colmanstown,35,16,1,52,18,17,15,2,52,67.308,34.615
2AE1962922E713A3E055000000000001,ED3409_27109,Craughwell,429,111,14,554,419,46,74,15,554,77.437,75.632
2AE19629231013A3E055000000000001,ED3409_27110,Derrylaur,25,15,0,40,15,12,11,2,40,62.5,37.5
2AE19629232013A3E055000000000001,ED3409_27111,Drumkeary,138,71,4,213,123,24,61,5,213,64.789,57.746
2AE19629234713A3E055000000000001,ED3409_27112,Graigabbey,95,25,4,124,78,24,20,2,124,76.613,62.903
2AE19629234813A3E055000000000001,ED3409_27113,Grange,154,72,4,230,92,66,65,7,230,66.957,40
2AE19629235413A3E055000000000001,ED3409_27114,Greethill,234,67,1,302,228,22,48,4,302,77.483,75.497
2AE19629238B13A3E055000000000001,ED3409_27115,Kilchreest,63,43,5,111,36,31,36,8,111,56.757,32.432
2AE19629238C13A3E055000000000001,ED3409_27116,Kilconickny,160,43,7,210,137,30,37,6,210,76.19,65.238
2AE19629239713A3E055000000000001,ED3409_27117,Kilconierin,144,58,1,203,123,30,48,2,203,70.936,60.591
2AE1962922F413A3E055000000000001,ED3409_27118,Killimor,71,52,2,125,48,28,45,4,125,56.8,38.4
2AE1962922F613A3E055000000000001,ED3409_27119,Killogilleen,205,65,5,275,168,47,53,7,275,74.545,61.091
2AE19629232313A3E055000000000001,ED3409_27120,Kilmeen,149,67,1,217,103,54,59,1,217,68.664,47.465
2AE19629232F13A3E055000000000001,ED3409_27121,Kilreekill,81,33,3,117,60,24,29,4,117,69.231,51.282
2AE19629233B13A3E055000000000001,ED3409_27122,Kilteskill,88,28,2,118,74,18,24,2,118,74.576,62.712
2AE19629234913A3E055000000000001,ED3409_27123,Kiltullagh,181,56,0,237,163,32,40,2,237,76.371,68.776
2AE19629235713A3E055000000000001,ED3409_27124,Lackalea,86,20,7,113,75,15,14,9,113,76.106,66.372
2AE19629235913A3E055000000000001,ED3409_27125,Leitrim,113,41,2,156,89,36,30,1,156,72.436,57.051
2AE19629238D13A3E055000000000001,ED3409_27127,Loughrea Rural,212,63,5,280,203,25,48,4,280,75.714,72.5
2AE19629238E13A3E055000000000001,ED3409_27128,Loughrea Urban,"1,352",780,81,"2,213","1,430",197,517,69,"2,213",61.094,64.618
3576C5999B294152E0530100007F0280,ED3409_27129/27126,Marblehill / Loughatorick,75,56,4,135,53,28,48,6,135,55.556,39.259
2AE1962923AB13A3E055000000000001,ED3409_27130,Mountain,73,20,2,95,67,11,15,2,95,76.842,70.526
2AE1962922DC13A3E055000000000001,ED3409_27131,Movode,60,21,5,86,55,13,14,4,86,69.767,63.953
2AE1962922ED13A3E055000000000001,ED3409_27132,Raford,113,60,4,177,89,38,43,7,177,63.842,50.282
2AE19629233213A3E055000000000001,ED3409_27133,Tiaquin,171,49,3,223,144,32,42,5,223,76.682,64.574
2AE19629235013A3E055000000000001,ED3409_27134,Woodford,104,68,7,179,81,35,56,7,179,58.101,45.251
2AE19629204E13A3E055000000000001,ED3409_27135,Annagh,78,51,4,133,63,19,45,6,133,58.647,47.368
2AE19629208B13A3E055000000000001,ED3409_27136,Ballynakill,130,87,1,218,113,34,67,4,218,59.633,51.835
2AE1962920BD13A3E055000000000001,ED3409_27137,Caltra,89,46,1,136,83,19,31,3,136,65.441,61.029
2AE1962920D713A3E055000000000001,ED3409_27138,Castleblakeney,132,48,4,184,126,15,36,7,184,71.739,68.478
2AE1962920E013A3E055000000000001,ED3409_27139,Castleffrench,100,79,0,179,64,38,75,2,179,55.866,35.754
2AE19629210413A3E055000000000001,ED3409_27140,Clonbrock,128,68,4,200,111,31,52,6,200,64,55.5
2AE19629204A13A3E055000000000001,ED3409_27141,Cloonkeen,58,52,3,113,42,19,49,3,113,51.327,37.168
2AE1962922E513A3E055000000000001,ED3409_27142,Cooloo,108,69,2,179,67,61,48,3,179,60.335,37.43
2AE19629230413A3E055000000000001,ED3409_27143,Derryglassaun,192,98,6,296,153,64,72,7,296,64.865,51.689
2AE1962922E813A3E055000000000001,ED3409_27144,Killeroran,290,194,7,491,283,48,152,8,491,59.063,57.637
2AE1962922E913A3E055000000000001,ED3409_27145,Killian,74,45,5,124,58,24,35,7,124,59.677,46.774
